"2019-01-15 12:35:14" "0.0000" "V" "LogCat" "Created."
"Date"                 "RunTime"  "type"  "TAG"  "Message"
"2019-01-15 12:35:14" "0.0001" "I" "TLogCat" "Logfolder changed to C:\Users\nagao\Documents\github確認\M-DaC_XPS-master\PHI_XPS_depth_tools\temp\"
"Date"                 "RunTime"  "type"  "TAG"  "Message"
"2019-01-15 12:35:14" "0.0002" "I" "TLogCat" "Logfolder changed to C:\Users\nagao\Documents\github確認\M-DaC_XPS-master\PHI_XPS_depth_tools\temp\"
"2019-01-15 12:35:14" "0.0021" "I" "" "1 files to export"
"2019-01-15 12:35:14" "0.0030" "I" "" "processing XPS_PHI_QUANTERA_depth_1.pro"
"2019-01-15 12:35:14" "0.0129" "I" "TMultiPakFileExporter" "Loading :XPS_PHI_QUANTERA_depth_1.pro"
"2019-01-15 12:35:14" "0.0129" "I" "TMultiPakFileExporter" "Exporting XPS_PHI_QUANTERA_depth_1.pro"
"2019-01-15 12:35:14" "0.0129" "I" "TMultiPakFileExporter" "ProcessPRO Spectrum block start"
"2019-01-15 12:35:14" "0.0238" "I" "TMultiPakFileExporter" "ProcessPRO Spectrum block Done"
"2019-01-15 12:35:14" "0.0238" "I" "TMultiPakFileExporter" "ProcessPRO profile block start"
"2019-01-15 12:35:14" "0.0241" "I" "TMultiPakFileExporter" "ProcessPRO profile block done"
"2019-01-15 12:35:14" "0.0241" "I" "TMultiPakFileExporter" "Done."
"2019-01-15 12:35:14" "0.0763" "I" "MEMUSAGE" "memory	7,420	KB"
"2019-01-15 12:35:14" "0.0768" "I" "" "0.078sec 1files."
