#title,XRD_RIGAKU2 - ÉRÉsÅ[.ras
#dimension,x,y
#x,2Theta-Theta,deg
#y,Intensity,counts
#legend,Cu K_alpha
##acq_date,11/21/2017 08:37:42

25.0000,13.0000
25.0100,7.0000
25.0200,12.0000
25.0300,6.0000
25.0400,3.0000
25.0500,10.0000
25.0600,5.0000
25.0700,5.0000
25.0800,7.0000
25.0900,14.0000
25.1000,6.0000
25.1100,9.0000
25.1200,6.0000
25.1300,10.0000
25.1400,11.0000
25.1500,12.0000
25.1600,8.0000
25.1700,9.0000
25.1800,9.0000
25.1900,5.0000
25.2000,5.0000
25.2100,8.0000
25.2200,8.0000
25.2300,9.0000
25.2400,11.0000
25.2500,10.0000
25.2600,8.0000
25.2700,9.0000
25.2800,9.0000
25.2900,12.0000
25.3000,13.0000
25.3100,6.0000
25.3200,7.0000
25.3300,12.0000
25.3400,7.0000
25.3500,6.0000
25.3600,9.0000
25.3700,7.0000
25.3800,11.0000
25.3900,10.0000
25.4000,4.0000
25.4100,6.0000
25.4200,9.0000
25.4300,10.0000
25.4400,8.0000
25.4500,11.0000
25.4600,8.0000
25.4700,5.0000
25.4800,5.0000
25.4900,5.0000
25.5000,11.0000
25.5100,8.0000
25.5200,9.0000
25.5300,12.0000
25.5400,14.0000
25.5500,13.0000
25.5600,13.0000
25.5700,9.0000
25.5800,7.0000
25.5900,14.0000
25.6000,13.0000
25.6100,13.0000
25.6200,11.0000
25.6300,9.0000
25.6400,15.0000
25.6500,10.0000
25.6600,6.0000
25.6700,4.0000
25.6800,10.0000
25.6900,6.0000
25.7000,14.0000
25.7100,9.0000
25.7200,11.0000
25.7300,7.0000
25.7400,10.0000
25.7500,9.0000
25.7600,10.0000
25.7700,11.0000
25.7800,11.0000
25.7900,7.0000
25.8000,5.0000
25.8100,5.0000
25.8200,7.0000
25.8300,7.0000
25.8400,5.0000
25.8500,7.0000
25.8600,5.0000
25.8700,10.0000
25.8800,10.0000
25.8900,5.0000
25.9000,5.0000
25.9100,5.0000
25.9200,6.0000
25.9300,14.0000
25.9400,15.0000
25.9500,9.0000
25.9600,15.0000
25.9700,11.0000
25.9800,12.0000
25.9900,10.0000
26.0000,11.0000
26.0100,8.0000
26.0200,9.0000
26.0300,9.0000
26.0400,10.0000
26.0500,8.0000
26.0600,3.0000
26.0700,4.0000
26.0800,6.0000
26.0900,7.0000
26.1000,9.0000
26.1100,7.0000
26.1200,11.0000
26.1300,7.0000
26.1400,16.0000
26.1500,18.0000
26.1600,7.0000
26.1700,5.0000
26.1800,13.0000
26.1900,6.0000
26.2000,8.0000
26.2100,7.0000
26.2200,6.0000
26.2300,7.0000
26.2400,9.0000
26.2500,5.0000
26.2600,6.0000
26.2700,9.0000
26.2800,8.0000
26.2900,14.0000
26.3000,11.0000
26.3100,9.0000
26.3200,12.0000
26.3300,6.0000
26.3400,9.0000
26.3500,11.0000
26.3600,6.0000
26.3700,4.0000
26.3800,6.0000
26.3900,10.0000
26.4000,7.0000
26.4100,6.0000
26.4200,7.0000
26.4300,7.0000
26.4400,6.0000
26.4500,8.0000
26.4600,10.0000
26.4700,7.0000
26.4800,6.0000
26.4900,12.0000
26.5000,11.0000
26.5100,8.0000
26.5200,8.0000
26.5300,8.0000
26.5400,11.0000
26.5500,6.0000
26.5600,5.0000
26.5700,5.0000
26.5800,3.0000
26.5900,5.0000
26.6000,7.0000
26.6100,6.0000
26.6200,5.0000
26.6300,2.0000
26.6400,6.0000
26.6500,9.0000
26.6600,9.0000
26.6700,11.0000
26.6800,5.0000
26.6900,6.0000
26.7000,7.0000
26.7100,10.0000
26.7200,8.0000
26.7300,5.0000
26.7400,8.0000
26.7500,10.0000
26.7600,9.0000
26.7700,8.0000
26.7800,9.0000
26.7900,8.0000
26.8000,7.0000
26.8100,9.0000
26.8200,10.0000
26.8300,8.0000
26.8400,6.0000
26.8500,5.0000
26.8600,7.0000
26.8700,9.0000
26.8800,7.0000
26.8900,10.0000
26.9000,14.0000
26.9100,3.0000
26.9200,7.0000
26.9300,7.0000
26.9400,11.0000
26.9500,7.0000
26.9600,8.0000
26.9700,6.0000
26.9800,9.0000
26.9900,6.0000
27.0000,5.0000
27.0100,5.0000
27.0200,5.0000
27.0300,6.0000
27.0400,7.0000
27.0500,7.0000
27.0600,8.0000
27.0700,9.0000
27.0800,6.0000
27.0900,11.0000
27.1000,5.0000
27.1100,5.0000
27.1200,11.0000
27.1300,7.0000
27.1400,11.0000
27.1500,9.0000
27.1600,10.0000
27.1700,8.0000
27.1800,10.0000
27.1900,12.0000
27.2000,14.0000
27.2100,5.0000
27.2200,12.0000
27.2300,17.0000
27.2400,12.0000
27.2500,7.0000
27.2600,9.0000
27.2700,14.0000
27.2800,10.0000
27.2900,9.0000
27.3000,9.0000
27.3100,14.0000
27.3200,9.0000
27.3300,13.0000
27.3400,14.0000
27.3500,11.0000
27.3600,12.0000
27.3700,8.0000
27.3800,7.0000
27.3900,12.0000
27.4000,19.0000
27.4100,18.0000
27.4200,11.0000
27.4300,13.0000
27.4400,10.0000
27.4500,15.0000
27.4600,9.0000
27.4700,14.0000
27.4800,24.0000
27.4900,16.0000
27.5000,13.0000
27.5100,18.0000
27.5200,20.0000
27.5300,21.0000
27.5400,14.0000
27.5500,10.0000
27.5600,14.0000
27.5700,10.0000
27.5800,17.0000
27.5900,15.0000
27.6000,12.0000
27.6100,13.0000
27.6200,21.0000
27.6300,23.0000
27.6400,14.0000
27.6500,13.0000
27.6600,20.0000
27.6700,21.0000
27.6800,16.0000
27.6900,18.0000
27.7000,17.0000
27.7100,19.0000
27.7200,13.0000
27.7300,20.0000
27.7400,10.0000
27.7500,17.0000
27.7600,19.0000
27.7700,17.0000
27.7800,21.0000
27.7900,23.0000
27.8000,24.0000
27.8100,20.0000
27.8200,22.0000
27.8300,21.0000
27.8400,20.0000
27.8500,24.0000
27.8600,19.0000
27.8700,24.0000
27.8800,13.0000
27.8900,21.0000
27.9000,16.0000
27.9100,13.0000
27.9200,24.0000
27.9300,29.0000
27.9400,30.0000
27.9500,24.0000
27.9600,23.0000
27.9700,30.0000
27.9800,24.0000
27.9900,27.0000
28.0000,23.0000
28.0100,24.0000
28.0200,26.0000
28.0300,32.0000
28.0400,33.0000
28.0500,27.0000
28.0600,31.0000
28.0700,36.0000
28.0800,30.0000
28.0900,42.0000
28.1000,36.0000
28.1100,42.0000
28.1200,38.0000
28.1300,48.0000
28.1400,40.0000
28.1500,62.0000
28.1600,52.0000
28.1700,59.0000
28.1800,64.0000
28.1900,64.0000
28.2000,65.0000
28.2100,75.0000
28.2200,88.0000
28.2300,108.0000
28.2400,120.0000
28.2500,135.0000
28.2600,144.0000
28.2700,179.0000
28.2800,238.0000
28.2900,261.0000
28.3000,328.0000
28.3100,418.0000
28.3200,540.0000
28.3300,764.0000
28.3400,1086.0000
28.3500,1508.0000
28.3600,2114.0000
28.3700,2724.0000
28.3800,3578.0000
28.3900,4294.0000
28.4000,4551.0000
28.4100,3985.0000
28.4200,3109.0000
28.4300,2382.0000
28.4400,2114.0000
28.4500,2162.0000
28.4600,2282.0000
28.4700,2366.0000
28.4800,2100.0000
28.4900,1597.0000
28.5000,1060.0000
28.5100,661.0000
28.5200,478.0000
28.5300,351.0000
28.5400,255.0000
28.5500,202.0000
28.5600,166.0000
28.5700,142.0000
28.5800,133.0000
28.5900,108.0000
28.6000,101.0000
28.6100,82.0000
28.6200,70.0000
28.6300,64.0000
28.6400,55.0000
28.6500,54.0000
28.6600,42.0000
28.6700,43.0000
28.6800,46.0000
28.6900,39.0000
28.7000,41.0000
28.7100,39.0000
28.7200,37.0000
28.7300,25.0000
28.7400,22.0000
28.7500,32.0000
28.7600,31.0000
28.7700,19.0000
28.7800,31.0000
28.7900,30.0000
28.8000,28.0000
28.8100,22.0000
28.8200,29.0000
28.8300,26.0000
28.8400,21.0000
28.8500,33.0000
28.8600,22.0000
28.8700,23.0000
28.8800,27.0000
28.8900,18.0000
28.9000,19.0000
28.9100,16.0000
28.9200,17.0000
28.9300,11.0000
28.9400,16.0000
28.9500,13.0000
28.9600,22.0000
28.9700,11.0000
28.9800,14.0000
28.9900,20.0000
29.0000,16.0000
29.0100,12.0000
29.0200,13.0000
29.0300,13.0000
29.0400,12.0000
29.0500,12.0000
29.0600,10.0000
29.0700,17.0000
29.0800,7.0000
29.0900,7.0000
29.1000,11.0000
29.1100,13.0000
29.1200,10.0000
29.1300,14.0000
29.1400,15.0000
29.1500,10.0000
29.1600,13.0000
29.1700,5.0000
29.1800,13.0000
29.1900,12.0000
29.2000,7.0000
29.2100,12.0000
29.2200,7.0000
29.2300,8.0000
29.2400,4.0000
29.2500,10.0000
29.2600,4.0000
29.2700,8.0000
29.2800,9.0000
29.2900,12.0000
29.3000,9.0000
29.3100,10.0000
29.3200,11.0000
29.3300,9.0000
29.3400,4.0000
29.3500,7.0000
29.3600,9.0000
29.3700,7.0000
29.3800,11.0000
29.3900,12.0000
29.4000,7.0000
29.4100,12.0000
29.4200,9.0000
29.4300,6.0000
29.4400,10.0000
29.4500,9.0000
29.4600,4.0000
29.4700,4.0000
29.4800,4.0000
29.4900,11.0000
29.5000,9.0000
29.5100,6.0000
29.5200,5.0000
29.5300,7.0000
29.5400,14.0000
29.5500,7.0000
29.5600,8.0000
29.5700,7.0000
29.5800,5.0000
29.5900,10.0000
29.6000,8.0000
29.6100,5.0000
29.6200,6.0000
29.6300,10.0000
29.6400,4.0000
29.6500,5.0000
29.6600,13.0000
29.6700,5.0000
29.6800,7.0000
29.6900,5.0000
29.7000,8.0000
29.7100,5.0000
29.7200,8.0000
29.7300,10.0000
29.7400,5.0000
29.7500,4.0000
29.7600,5.0000
29.7700,7.0000
29.7800,5.0000
29.7900,11.0000
29.8000,8.0000
29.8100,9.0000
29.8200,9.0000
29.8300,5.0000
29.8400,5.0000
29.8500,11.0000
29.8600,10.0000
29.8700,3.0000
29.8800,6.0000
29.8900,2.0000
29.9000,2.0000
29.9100,5.0000
29.9200,5.0000
29.9300,6.0000
29.9400,6.0000
29.9500,12.0000
29.9600,7.0000
29.9700,7.0000
29.9800,14.0000
29.9900,7.0000
30.0000,3.0000
30.0100,7.0000
30.0200,7.0000
30.0300,4.0000
30.0400,6.0000
30.0500,9.0000
30.0600,5.0000
30.0700,8.0000
30.0800,5.0000
30.0900,5.0000
30.1000,10.0000
30.1100,7.0000
30.1200,8.0000
30.1300,8.0000
30.1400,8.0000
30.1500,9.0000
30.1600,7.0000
30.1700,9.0000
30.1800,8.0000
30.1900,6.0000
30.2000,3.0000
30.2100,5.0000
30.2200,4.0000
30.2300,6.0000
30.2400,1.0000
30.2500,7.0000
30.2600,3.0000
30.2700,4.0000
30.2800,6.0000
30.2900,2.0000
30.3000,7.0000
30.3100,4.0000
30.3200,4.0000
30.3300,6.0000
30.3400,8.0000
30.3500,5.0000
30.3600,4.0000
30.3700,6.0000
30.3800,6.0000
30.3900,6.0000
30.4000,5.0000
30.4100,2.0000
30.4200,6.0000
30.4300,5.0000
30.4400,8.0000
30.4500,4.0000
30.4600,6.0000
30.4700,5.0000
30.4800,5.0000
30.4900,4.0000
30.5000,11.0000
30.5100,5.0000
30.5200,3.0000
30.5300,3.0000
30.5400,6.0000
30.5500,6.0000
30.5600,5.0000
30.5700,1.0000
30.5800,3.0000
30.5900,13.0000
30.6000,8.0000
30.6100,7.0000
30.6200,7.0000
30.6300,3.0000
30.6400,5.0000
30.6500,6.0000
30.6600,1.0000
30.6700,4.0000
30.6800,2.0000
30.6900,7.0000
30.7000,4.0000
30.7100,4.0000
30.7200,5.0000
30.7300,2.0000
30.7400,6.0000
30.7500,3.0000
30.7600,5.0000
30.7700,3.0000
30.7800,8.0000
30.7900,6.0000
30.8000,4.0000
30.8100,8.0000
30.8200,3.0000
30.8300,9.0000
30.8400,7.0000
30.8500,2.0000
30.8600,5.0000
30.8700,4.0000
30.8800,2.0000
30.8900,8.0000
30.9000,9.0000
30.9100,7.0000
30.9200,4.0000
30.9300,6.0000
30.9400,6.0000
30.9500,3.0000
30.9600,3.0000
30.9700,7.0000
30.9800,5.0000
